goodsName,shopName,shopAge,shopPlace,shopMiaoshu,shopWuliu,shopFuwu,age,price,monthly_sales,productDescription,圆领,韩版,印花,纯色,无袖,中腰,中长裙,雪纺,短裙,修身,宽松,黑色,中裙,高腰,中长款,蕾丝,白色,甜美,长裙,显瘦,V领,条纹,镂空,大摆,欧美,褶皱,红色,荷叶边,蓝色,淑女,桑蚕丝,一步裙,绣花,粉色,长袖,碎花
2016夏装新款韩版a字型卡通印花后背系蝴蝶结撞色宽松连衣裙女潮,卡依莱芙旗舰店,4,成都,4.7,4.7,4.7,18-24,99.0,2786,"
材质成分: 聚酯纤维90% 其他10%
销售渠道类型: 纯电商(只在线上销售)
货号: K16354
风格: 甜美
甜美: 森女
组合形式: 单件
裙长: 中裙
款式: 其他/other
袖长: 无袖
领型: 圆领
腰型: 宽松腰
衣门襟: 套头
裙型: 其他
图案: 动物图案
流行元素/工艺: 蝴蝶结 荷叶边 印花
品牌: 卡依莱芙
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 深蓝色 浅蓝色
尺码: S M L XL XXL

",1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
欧货女装2016夏新款连衣裙大码女装字母宽松休闲中长款T恤裙子潮,品杰克服饰旗舰店,3,上海,4.8,4.7,4.7,25-29,98.0,2774,"
材质成分: 棉95% 其他5%
货号: 1601246
裙长: 中长裙
品牌: 品杰克
适用年龄: 25-29周岁
年份季节: 2016年春季
颜色分类: 灰色
尺码: M S L XL 2XL

",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016夏季新品女装修身无袖雪纺连衣裙波西米亚长裙海边度假沙滩裙,西子美丽心情旗舰店,3,杭州,4.8,4.8,4.7,25-29,149.0,2758,"
廓形: A型
材质成分: 聚酯纤维100%
销售渠道类型: 纯电商(只在线上销售)
货号: XZ16A266
风格: 甜美
甜美: 波西米亚
组合形式: 单件
裙长: 长裙
款式: 其他/other
袖长: 无袖
领型: 圆领
袖型: 常规
腰型: 高腰
衣门襟: 套头
裙型: 大摆型
图案: 其他
流行元素/工艺: 系带
品牌: 西子美丽心情
面料: 雪纺
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 图片色 XZ16A266
尺码: S M L XL XXL

",1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
连衣裙女夏2016新款韩版中长款宽松显瘦个性卡通短袖圆领T恤裙子,珂恋旗舰店,3,广州,4.8,4.8,4.7,25-29,69.0,2739,"
廓形: H型
材质成分: 棉95% 其他5%
销售渠道类型: 纯电商(只在线上销售)
货号: KL15X1925
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: 其他
图案: 卡通动漫
流行元素/工艺: 扎花 印花
品牌: 珂恋
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 白色 黑色
尺码: S M L XL XXL

",1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
背带裙女套装2016夏装新款女装两件套显瘦中长款连衣裙学生针织裙,彩虹舞旗舰店,6,杭州,4.8,4.8,4.8,18-24,138.0,2733,"
廓形: A型
材质成分: 聚酯纤维96.7% 聚氨酯弹性纤维(氨纶)3.3%
销售渠道类型: 纯电商(只在线上销售)
货号: DR16B1154
风格: 甜美
甜美: 学院
组合形式: 两件套
裙长: 中裙
款式: 背带
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: A字裙
图案: 纯色
流行元素/工艺: 拼接
品牌: Dancing Rainbow/彩虹舞
面料: 针织
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 黑色
尺码: M L XL S

",1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
歌兔夏天雪纺连衣裙2016荷叶边露肩修身长裙碎花波西米亚沙滩裙女,歌兔服饰旗舰店,3,杭州,4.8,4.7,4.7,25-29,89.0,2722,"
廓形: A型
材质成分: 聚酯纤维100%
货号: GT16CQZ83
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 荷叶袖
腰型: 中腰
衣门襟: 套头
裙型: 大摆型
图案: 花色
流行元素/工艺: 荷叶边
品牌: 歌兔
面料: 雪纺
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 白底木兰 粉底水墨 水墨碎花 蓝底渲染 绿底香芋花纹 优雅白 气质花枝 民俗花卉 黑色 复古繁花 浅绿色 大红 新粉色 浅黄色 天蓝色 淡紫色 宝蓝色 橄榄绿 高贵紫 白底梅花 异国花卉 嫩粉色 粉红色 薄荷绿
尺码: S M L XL XXL

",1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1
2016夏装新款韩版宽松T恤女中长款显瘦字母网纱拼接上衣连衣裙子,花香伊雨旗舰店,4,广州,4.7,4.7,4.7,18-24,89.0,2716,"
廓形: H型
材质成分: 粘胶纤维(粘纤)59.5% 聚酰胺纤维(锦纶)35.7% 聚氨酯弹性纤维(氨纶)4.8%
销售渠道类型: 纯电商(只在线上销售)
货号: 2016053
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 松紧腰
衣门襟: 套头
裙型: 其他
图案: 字母
流行元素/工艺: 拼接 纱网 印花
品牌: FLOW ER SY IY U/花香伊雨
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 白色 黑色 粉色 浅蓝
尺码: M L S XL XXL

",1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
小黑裙2016夏季新款韩版女装修身显瘦无袖背心打底短裙雪纺连衣裙,靓雪蒂旗舰店,0,杭州,4.7,4.7,4.7,25-29,119.0,2696,"
廓形: A型
材质成分: 聚酯纤维100%
销售渠道类型: 纯电商(只在线上销售)
货号: D1598
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 短裙
款式: 背带
袖长: 无袖
领型: 圆领
袖型: 常规
腰型: 中腰
衣门襟: 套头
裙型: A字裙
图案: 纯色
流行元素/工艺: 褶皱 立体装饰 拉链
品牌: 靓雪蒂
面料: 雪纺
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 白色 墨绿色 皮粉色 淡紫色 浅灰色 粉色 大红 薄荷绿 宝蓝 黑色
尺码: S M L XL XXL XS

",1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
女装 乔其纱连衣裙(短袖) 172018 优衣库UNIQLO,优衣库官方旗舰店,8,上海,4.9,4.8,4.8,25-29,99.0,2666,"
材质成分: 聚酯纤维100%
销售渠道类型: 商场同款(线上线下都销售)
货号: UQ172018000
裙长: 中长裙
品牌: Uniqlo/优衣库
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 01 乳白色 16 红色 69 藏青色
尺码: 155/80A/S 160/84A/M 160/88A/L

",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016夏季新款韩版胖mm宽松大码女装显瘦中长款短袖棉麻连衣裙长裙,念曼旗舰店,0,杭州,4.8,4.8,4.8,25-29,159.0,2665,"
廓形: A型
材质成分: 棉50.5% 亚麻49.5%
销售渠道类型: 纯电商(只在线上销售)
货号: NM16B320
风格: 通勤
通勤: 文艺
组合形式: 单件
裙长: 长裙
款式: 其他/other
袖长: 短袖
领型: 半开领
袖型: 常规
腰型: 宽松腰
衣门襟: 套头
裙型: A字裙
图案: 纯色
流行元素/工艺: 褶皱 口袋 拼接 纽扣
品牌: 念曼
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 灰色 蓝色 卡其色
尺码: M L XL S XXL

",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
三彩2016春秋新款修身镂空秋装红色蕾丝连衣裙打底裙女D612077L10,三彩官方旗舰店,5,杭州,4.8,4.8,4.8,25-29,228.0,2661,"
廓形: X型
材质成分: 棉71.5% 聚酰胺纤维(锦纶)28.5%
销售渠道类型: 纯电商(只在线上销售)
货号: D612077L10
风格: 通勤
通勤: 淑女
组合形式: 单件
裙长: 中裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 高腰
衣门襟: 套头
裙型: A字裙
图案: 纯色
流行元素/工艺: 蕾丝
品牌: 三彩
面料: 蕾丝
适用年龄: 25-29周岁
年份季节: 2016年春季
颜色分类: 红色 白色 粉色 蓝灰
尺码: 155/80A/S 160/84A/M 165/88A/L 170/92A/XL 175/96A/XXL

",1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
衬衫连衣裙女短袖棉立方2016夏季新款女装条纹系带中长款裙子夏,棉立方旗舰店,6,杭州,4.8,4.8,4.8,25-29,139.0,2650,"
廓形: X型
材质成分: 聚酯纤维84% 棉16%
销售渠道类型: 纯电商(只在线上销售)
货号: 16BE232
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
袖长: 短袖
领型: V领
袖型: 常规
腰型: 松紧腰
衣门襟: 单排扣
裙型: 大摆型
图案: 条纹
流行元素/工艺: 口袋 系带 拼接 纽扣
品牌: Mefound/棉立方
面料: 其他
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 黑白条 米白条
尺码: S M L XL

",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
沃咖欧洲站2016夏装女新款连衣裙圆领短袖T恤裙休闲裙子欧货女潮,沃咖旗舰店,0,东莞,4.8,4.7,4.7,18-24,99.0,2627,"
材质成分: 棉95% 聚氨酯弹性纤维(氨纶)5%
销售渠道类型: 纯电商(只在线上销售)
货号: W15QQ0026
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
袖长: 短袖
领型: 圆领
袖型: 常规
流行元素/工艺: 镂空 亮片
品牌: 沃咖
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: A黑色 A白色 B黑色 B白色
尺码: S M L XL XXL

",1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016夏装女装棉麻连衣裙女中长款修身显瘦印花长裙波西米亚背心裙,fanqi旗舰店,5,杭州,4.7,4.7,4.7,18-24,79.0,2588,"
材质成分: 其他100%
销售渠道类型: 纯电商(只在线上销售)
货号: ZF0030
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 无袖
领型: 圆领
袖型: 常规
腰型: 松紧腰
衣门襟: 套头
裙型: 大摆型
图案: 花色
流行元素/工艺: 蝴蝶结 系带 印花
品牌: FANQI 范绮
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 蓝底柠檬 深海蓝花 粉底粉花 米色杏花
尺码: M L XL XXL

",1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
韩版淑女夏季新款半袖百褶裙子短裙喇叭袖荷叶边黑色宽松连衣裙女,艾赏妮诺旗舰店,5,嘉兴,4.8,4.8,4.8,18-24,88.0,2583,"
廓形: A型
材质成分: 聚酯纤维100%
销售渠道类型: 纯电商(只在线上销售)
货号: AS963
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 短裙
款式: 其他/other
袖长: 五分袖
领型: 圆领
袖型: 喇叭袖
腰型: 中腰
衣门襟: 套头
裙型: 百褶裙
图案: 纯色
流行元素/工艺: 褶皱 拼接
品牌: 艾赏妮诺 AISONINUO
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 黑色
尺码: S M L XL XXL

",1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2016时尚新款韩版小碎花中长款雪纺连衣裙显瘦荷叶袖高腰长裙,可媄欣旗舰店,3,广州,4.8,4.8,4.8,18-24,89.0,2577,"
材质成分: 其他100%
货号: 76693
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中长裙
款式: 其他/other
袖长: 短袖
领型: 圆领
袖型: 荷叶袖
腰型: 高腰
衣门襟: 套头
裙型: 大摆型
图案: 碎花
流行元素/工艺: 印花
品牌: 可媄欣
面料: 雪纺
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 碎花裙（8373）
尺码: S XL 2XL M L

",1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
#Amii[极简主义]2016无袖背心修身显瘦连衣裙通勤大码休闲连衣裙,amii旗舰店,7,佛山,4.8,4.8,4.8,25-29,139.0,2572,"
材质成分: 聚酯纤维100%
货号: 11580283
风格: 通勤
通勤: 简约
组合形式: 单件
裙长: 短裙
款式: 其他/other
袖长: 无袖
领型: 其他
衣门襟: 套头
裙型: 其他
图案: 纯色
流行元素/工艺: 及简 前圆领后V领
品牌: Amii
适用年龄: 25-29周岁
年份季节: 2016年夏季
颜色分类: 罂粟红 米白 黑色
尺码: XS S M L XL XXL XXXL

",1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
韩版2016夏季新款拼色印花连衣裙拼接网纱中长T恤女款无袖t恤裙,布多欣旗舰店,0,广州,4.8,4.8,4.8,18-24,69.0,2568,"
廓形: H型
材质成分: 粘胶纤维(粘纤)64.5% 聚酯纤维30.2% 聚氨酯弹性纤维(氨纶)5.3%
货号: BDX8301
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 中裙
款式: 吊带
袖长: 无袖
领型: 圆领
袖型: 常规
腰型: 宽松腰
衣门襟: 套头
裙型: A字裙
图案: 条纹
流行元素/工艺: 拼接 纱网 印花
品牌: 布多欣
面料: 其他
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 白色 黑色
尺码: S M L XL 2XL

",1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
波西米亚大码大摆夏雪纺显瘦海边度假沙滩裙中袖连衣裙宽松长裙,戈拉萱旗舰店,0,杭州,4.8,4.8,4.8,18-24,149.0,2553,"
材质成分: 聚酯纤维100%
销售渠道类型: 纯电商(只在线上销售)
货号: 586
风格: 甜美
甜美: 波西米亚
组合形式: 单件
裙长: 长裙
款式: 其他/other
袖长: 五分袖
领型: 圆领
袖型: 常规
腰型: 高腰
裙型: 大摆型
图案: 花色
品牌: GEDLANCH/戈拉萱
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 中袖86 短袖红色98 短袖绿色98
尺码: L XL XXL XXXL XXXXL M S

",1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
夏季韩版牛仔背带裙 高腰显瘦a字公主裙蓬蓬裙吊带连衣裙短裙女装,航海日志奕展专卖店,0,郑州,4.7,4.7,4.7,18-24,79.0,2550,"
廓形: A型
材质成分: 棉94.1% 聚酯纤维5.9%
销售渠道类型: 纯电商(只在线上销售)
货号: 背带蓬蓬裙
风格: 通勤
通勤: 韩版
组合形式: 单件
裙长: 短裙
款式: 背带
袖长: 无袖
领型: 其他
袖型: 其他
腰型: 松紧腰
衣门襟: 套头
裙型: A字裙
图案: 纯色
流行元素/工艺: 抽褶 露背 贴布 链条 褶皱 背带 拉链 树脂固色
品牌: 航海日志
面料: 牛仔布
适用年龄: 18-24周岁
年份季节: 2016年春季
颜色分类: 深蓝色 浅蓝色
尺码: S M L XL

",0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
夏季新款小清新雪纺欧美中长款条纹镂空宽松显瘦蕾丝学生连衣裙女,鑫儿迪奈旗舰店,3,广州,4.8,4.8,4.8,18-24,99.0,2497,"
廓形: H型
材质成分: 聚酯纤维37.2% 聚酰胺纤维(锦纶)36.6% 棉26.2%
货号: XEDN160036
风格: 街头
街头: 欧美
组合形式: 单件
裙长: 中裙
袖长: 短袖
领型: 圆领
袖型: 常规
腰型: 宽松腰
衣门襟: 套头
裙型: 百褶裙
图案: 条纹
流行元素/工艺: 镂空 褶皱 勾花镂空 拼接 蕾丝
品牌: 鑫儿迪奈
面料: 蕾丝
适用年龄: 18-24周岁
年份季节: 2016年夏季
颜色分类: 蓝条纹 黑条纹
尺码: S M L XL XXL

",1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
